areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
region,East of England,E12000006,11/07/2022,6,18320
region,East of England,E12000006,10/07/2022,5,18314
region,East of England,E12000006,09/07/2022,8,18309
region,East of England,E12000006,08/07/2022,10,18301
region,East of England,E12000006,07/07/2022,11,18291
region,East of England,E12000006,06/07/2022,19,18280
region,East of England,E12000006,05/07/2022,11,18261
region,East of England,E12000006,04/07/2022,11,18250
region,East of England,E12000006,03/07/2022,10,18239
region,East of England,E12000006,02/07/2022,12,18229
region,East of England,E12000006,01/07/2022,6,18217
region,East of England,E12000006,30/06/2022,8,18211
region,East of England,E12000006,29/06/2022,7,18203
region,East of England,E12000006,28/06/2022,13,18196
region,East of England,E12000006,27/06/2022,8,18183
region,East of England,E12000006,26/06/2022,7,18175
region,East of England,E12000006,25/06/2022,9,18168
region,East of England,E12000006,24/06/2022,7,18159
region,East of England,E12000006,23/06/2022,4,18152
region,East of England,E12000006,22/06/2022,9,18148
region,East of England,E12000006,21/06/2022,9,18139
region,East of England,E12000006,20/06/2022,5,18130
region,East of England,E12000006,19/06/2022,9,18125
region,East of England,E12000006,18/06/2022,10,18116
region,East of England,E12000006,17/06/2022,5,18106
region,East of England,E12000006,16/06/2022,9,18101
region,East of England,E12000006,15/06/2022,4,18092
region,East of England,E12000006,14/06/2022,5,18088
region,East of England,E12000006,13/06/2022,4,18083
region,East of England,E12000006,12/06/2022,4,18079
region,East of England,E12000006,11/06/2022,9,18075
region,East of England,E12000006,10/06/2022,6,18066
region,East of England,E12000006,09/06/2022,5,18060
region,East of England,E12000006,08/06/2022,4,18055
region,East of England,E12000006,07/06/2022,4,18051
region,East of England,E12000006,06/06/2022,6,18047
region,East of England,E12000006,05/06/2022,9,18041
region,East of England,E12000006,04/06/2022,11,18032
region,East of England,E12000006,03/06/2022,5,18021
region,East of England,E12000006,02/06/2022,8,18016
region,East of England,E12000006,01/06/2022,6,18008
region,East of England,E12000006,31/05/2022,9,18002
region,East of England,E12000006,30/05/2022,7,17993
region,East of England,E12000006,29/05/2022,5,17986
region,East of England,E12000006,28/05/2022,6,17981
region,East of England,E12000006,27/05/2022,4,17975
region,East of England,E12000006,26/05/2022,5,17971
region,East of England,E12000006,25/05/2022,1,17966
region,East of England,E12000006,24/05/2022,8,17965
region,East of England,E12000006,23/05/2022,14,17957
region,East of England,E12000006,22/05/2022,8,17943
region,East of England,E12000006,21/05/2022,8,17935
region,East of England,E12000006,20/05/2022,6,17927
region,East of England,E12000006,19/05/2022,11,17921
region,East of England,E12000006,18/05/2022,8,17910
region,East of England,E12000006,17/05/2022,17,17902
region,East of England,E12000006,16/05/2022,7,17885
region,East of England,E12000006,15/05/2022,6,17878
region,East of England,E12000006,14/05/2022,11,17872
region,East of England,E12000006,13/05/2022,9,17861
region,East of England,E12000006,12/05/2022,11,17852
region,East of England,E12000006,11/05/2022,13,17841
region,East of England,E12000006,10/05/2022,10,17828
region,East of England,E12000006,09/05/2022,14,17818
region,East of England,E12000006,08/05/2022,8,17804
region,East of England,E12000006,07/05/2022,20,17796
region,East of England,E12000006,06/05/2022,17,17776
region,East of England,E12000006,05/05/2022,7,17759
region,East of England,E12000006,04/05/2022,16,17752
region,East of England,E12000006,03/05/2022,13,17736
region,East of England,E12000006,02/05/2022,18,17723
region,East of England,E12000006,01/05/2022,21,17705
region,East of England,E12000006,30/04/2022,16,17684
region,East of England,E12000006,29/04/2022,26,17668
region,East of England,E12000006,28/04/2022,24,17642
region,East of England,E12000006,27/04/2022,16,17618
region,East of England,E12000006,26/04/2022,11,17602
region,East of England,E12000006,25/04/2022,20,17591
region,East of England,E12000006,24/04/2022,21,17571
region,East of England,E12000006,23/04/2022,19,17550
region,East of England,E12000006,22/04/2022,30,17531
region,East of England,E12000006,21/04/2022,22,17501
region,East of England,E12000006,20/04/2022,29,17479
region,East of England,E12000006,19/04/2022,19,17450
region,East of England,E12000006,18/04/2022,21,17431
region,East of England,E12000006,17/04/2022,18,17410
region,East of England,E12000006,16/04/2022,27,17392
region,East of England,E12000006,15/04/2022,19,17365
region,East of England,E12000006,14/04/2022,23,17346
region,East of England,E12000006,13/04/2022,27,17323
region,East of England,E12000006,12/04/2022,30,17296
region,East of England,E12000006,11/04/2022,20,17266
region,East of England,E12000006,10/04/2022,21,17246
region,East of England,E12000006,09/04/2022,38,17225
region,East of England,E12000006,08/04/2022,25,17187
region,East of England,E12000006,07/04/2022,40,17162
region,East of England,E12000006,06/04/2022,21,17122
region,East of England,E12000006,05/04/2022,22,17101
region,East of England,E12000006,04/04/2022,22,17079
region,East of England,E12000006,03/04/2022,25,17057
region,East of England,E12000006,02/04/2022,39,17032
region,East of England,E12000006,01/04/2022,24,16993
region,East of England,E12000006,31/03/2022,27,16969
region,East of England,E12000006,30/03/2022,35,16942
region,East of England,E12000006,29/03/2022,26,16907
region,East of England,E12000006,28/03/2022,22,16881
region,East of England,E12000006,27/03/2022,26,16859
region,East of England,E12000006,26/03/2022,32,16833
region,East of England,E12000006,25/03/2022,25,16801
region,East of England,E12000006,24/03/2022,22,16776
region,East of England,E12000006,23/03/2022,23,16754
region,East of England,E12000006,22/03/2022,20,16731
region,East of England,E12000006,21/03/2022,18,16711
region,East of England,E12000006,20/03/2022,15,16693
region,East of England,E12000006,19/03/2022,17,16678
region,East of England,E12000006,18/03/2022,19,16661
region,East of England,E12000006,17/03/2022,21,16642
region,East of England,E12000006,16/03/2022,12,16621
region,East of England,E12000006,15/03/2022,24,16609
region,East of England,E12000006,14/03/2022,17,16585
region,East of England,E12000006,13/03/2022,16,16568
region,East of England,E12000006,12/03/2022,18,16552
region,East of England,E12000006,11/03/2022,14,16534
region,East of England,E12000006,10/03/2022,17,16520
region,East of England,E12000006,09/03/2022,17,16503
region,East of England,E12000006,08/03/2022,16,16486
region,East of England,E12000006,07/03/2022,10,16470
region,East of England,E12000006,06/03/2022,9,16460
region,East of England,E12000006,05/03/2022,15,16451
region,East of England,E12000006,04/03/2022,15,16436
region,East of England,E12000006,03/03/2022,19,16421
region,East of England,E12000006,02/03/2022,23,16402
region,East of England,E12000006,01/03/2022,14,16379
region,East of England,E12000006,28/02/2022,20,16365
region,East of England,E12000006,27/02/2022,11,16345
region,East of England,E12000006,26/02/2022,12,16334
region,East of England,E12000006,25/02/2022,12,16322
region,East of England,E12000006,24/02/2022,15,16310
region,East of England,E12000006,23/02/2022,14,16295
region,East of England,E12000006,22/02/2022,16,16281
region,East of England,E12000006,21/02/2022,13,16265
region,East of England,E12000006,20/02/2022,16,16252
region,East of England,E12000006,19/02/2022,14,16236
region,East of England,E12000006,18/02/2022,12,16222
region,East of England,E12000006,17/02/2022,12,16210
region,East of England,E12000006,16/02/2022,13,16198
region,East of England,E12000006,15/02/2022,24,16185
region,East of England,E12000006,14/02/2022,15,16161
region,East of England,E12000006,13/02/2022,17,16146
region,East of England,E12000006,12/02/2022,18,16129
region,East of England,E12000006,11/02/2022,13,16111
region,East of England,E12000006,10/02/2022,21,16098
region,East of England,E12000006,09/02/2022,22,16077
region,East of England,E12000006,08/02/2022,13,16055
region,East of England,E12000006,07/02/2022,20,16042
region,East of England,E12000006,06/02/2022,20,16022
region,East of England,E12000006,05/02/2022,21,16002
region,East of England,E12000006,04/02/2022,26,15981
region,East of England,E12000006,03/02/2022,16,15955
region,East of England,E12000006,02/02/2022,20,15939
region,East of England,E12000006,01/02/2022,21,15919
region,East of England,E12000006,31/01/2022,27,15898
region,East of England,E12000006,30/01/2022,21,15871
region,East of England,E12000006,29/01/2022,29,15850
region,East of England,E12000006,28/01/2022,17,15821
region,East of England,E12000006,27/01/2022,20,15804
region,East of England,E12000006,26/01/2022,24,15784
region,East of England,E12000006,25/01/2022,28,15760
region,East of England,E12000006,24/01/2022,25,15732
region,East of England,E12000006,23/01/2022,27,15707
region,East of England,E12000006,22/01/2022,26,15680
region,East of England,E12000006,21/01/2022,26,15654
region,East of England,E12000006,20/01/2022,22,15628
region,East of England,E12000006,19/01/2022,32,15606
region,East of England,E12000006,18/01/2022,21,15574
region,East of England,E12000006,17/01/2022,28,15553
region,East of England,E12000006,16/01/2022,20,15525
region,East of England,E12000006,15/01/2022,17,15505
region,East of England,E12000006,14/01/2022,34,15488
region,East of England,E12000006,13/01/2022,25,15454
region,East of England,E12000006,12/01/2022,20,15429
region,East of England,E12000006,11/01/2022,27,15409
region,East of England,E12000006,10/01/2022,35,15382
region,East of England,E12000006,09/01/2022,25,15347
region,East of England,E12000006,08/01/2022,21,15322
region,East of England,E12000006,07/01/2022,21,15301
region,East of England,E12000006,06/01/2022,20,15280
region,East of England,E12000006,05/01/2022,28,15260
region,East of England,E12000006,04/01/2022,20,15232
region,East of England,E12000006,03/01/2022,21,15212
region,East of England,E12000006,02/01/2022,22,15191
region,East of England,E12000006,01/01/2022,13,15169
region,East of England,E12000006,31/12/2021,14,15156
region,East of England,E12000006,30/12/2021,17,15142
region,East of England,E12000006,29/12/2021,9,15125
region,East of England,E12000006,28/12/2021,18,15116
region,East of England,E12000006,27/12/2021,12,15098
region,East of England,E12000006,26/12/2021,10,15086
region,East of England,E12000006,25/12/2021,5,15076
region,East of England,E12000006,24/12/2021,16,15071
region,East of England,E12000006,23/12/2021,16,15055
region,East of England,E12000006,22/12/2021,13,15039
region,East of England,E12000006,21/12/2021,10,15026
region,East of England,E12000006,20/12/2021,14,15016
region,East of England,E12000006,19/12/2021,10,15002
region,East of England,E12000006,18/12/2021,7,14992
region,East of England,E12000006,17/12/2021,15,14985
region,East of England,E12000006,16/12/2021,10,14970
region,East of England,E12000006,15/12/2021,10,14960
region,East of England,E12000006,14/12/2021,9,14950
region,East of England,E12000006,13/12/2021,10,14941
region,East of England,E12000006,12/12/2021,7,14931
region,East of England,E12000006,11/12/2021,8,14924
region,East of England,E12000006,10/12/2021,10,14916
